DATE,PM2.5,PM10,NO2,NH3,SO2,CO,OZONE,AQI (avg. of past 24hrs) 
23-Nov,298,256,110,9,16,73,80,295
24-Nov,378,365,136,12,24,89,99,379
25-Nov,413,401,135,13,25,85,42,413
26-Nov,316,243,97,12,17,59,30,302
27-Nov,148,135,85,9,15,56,36,137
28-Nov,235,171,94,9,13,62,54,231
29-Nov,243,201,106,9,14,69,76,256
30-Nov,318,272,113,11,15,74,70,318
1-Dec,367,336,122,13,19,79,85,367
2-Dec,354,337,124,14,20,72,62,373
3-Dec,319,264,111,13,17,79,98,341
4-Dec,381,348,127,14,20,88,80,382
5-Dec,397,361,118,15,15,78,91,404
6-Dec,379,337,109,14,15,73,91,389
7-Dec,402,355,99,14,13,77,49,400
8-Dec,377,336,103,16,14,80,57,383
9-Dec,349,329,106,15,20,77,63,358
10-Dec,297,260,102,15,27,66,22,284
11-Dec,272,237,97,15,17,78,21,295
12-Dec,338,291,96,15,13,66,17,356
13-Dec,317,242,74,14,14,55,24,305
14-Dec,160,117,66,10,15,47,38,160
15-Dec,255,180,79,11,22,55,29,230
16-Dec,268,166,71,10,16,58,26,262
17-Dec,237,164,67,10,10,51,30,256
18-Dec,291,198,91,11,11,54,43,281
19-Dec,283,225,100,11,13,67,53,290
20-Dec,290,214,90,10,17,72,52,321
21-Dec,314,243,94,11,21,72,62,332
22-Dec,419,382,104,14,18,85,55,418
23-Dec,431,401,107,16,22,86,60,433
24-Dec,428,384,103,17,19,82,60,423
25-Dec,373,309,95,15,15,67,38,357
26-Dec,335,273,98,13,13,68,51,337
27-Dec,405,363,110,15,19,92,52,396
28-Dec,254,247,83,11,16,53,43,253
29-Dec,249,234,89,11,15,62,43,265
30-Dec,316,229,85,13,11,68,29,290
31-Dec,342,217,87,13,11,76,24,347
,,,,,,,,
,,,,,,,,
